title	address	lat	lng	type
Puskesmas Maradekaya	No.27, Jl. Sungai Saddang Baru No.5, Maradekaya Sel., Kec. Makassar, Kota Makassar, Sulawesi Selatan 90142, Indonesia	-5.1472209	119.429772	Pusat Kesehatan Masyarakat
Puskesmas Panambungan	Lrg. 300 No.16, Panambungan, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia	-5.1529529	119.4070926	Pusat Kesehatan Masyarakat
Puskesmas Bangkala	RFFF+7Q5, Perm. Husada Bakti Jl. Tamangapa Raya 3, Bangkala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90235, Indonesia	-5.176874499999999	119.4744752	Pusat Kesehatan Masyarakat
Puskesmas Bontoramba	VC98+MJG, JL Bontoramba, Takalar, Gaddong, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90245, Indonesia	-5.130821999999999	119.41657719999999	Pusat Kesehatan Masyarakat
Puskesmas Pembantu Parang	RCPF+X3Q, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90135, Indonesia	-5.1625423	119.4227487	Pusat Kesehatan Masyarakat
Puskesmas Mamajang - Recovery Addict	Jl. Baji Minasa No.10, Tamarunang, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90122, Indonesia	-5.1656946999999995	119.4100785	Pusat Kesehatan Masyarakat
Puskesmas Pembantu Layane III	VC98+6QQ, Jl. Bulu Saraung, Gaddong, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90156, Indonesia	-5.1319004999999995	119.41699159999999	Pusat Kesehatan Masyarakat
Puskesmas Mangasa	RCCV+8JR, JL. Mon. Emmy Saelan, Komp. BTN M.11, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia	-5.1791425	119.4440262	Pusat Kesehatan Masyarakat
Puskesmas Bersalin Mamajang	RCM6+GP9, Jl. Cendrawasih, Tamarunang, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90121, Indonesia	-5.1662028	119.4118601	Pusat Kesehatan Masyarakat
Puskesmas Macini Sombala	Jl. Danau Tj. Bunga No.88, Maccini Sombala, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia	-5.175781799999999	119.40183739999999	Pusat Kesehatan Masyarakat
Puskesmas Lancirang	VC88+WM9, JL. Poros Pare pare Rappang Ponrangae, Pitu Riawa, Pisang Utara, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90156, Indonesia	-5.132706	119.41673	Pusat Kesehatan Masyarakat
Puskesmas Antang Perumnas	Jl. Lasuloro Raya No.19, Bangkala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234, Indonesia	-5.1691259	119.484898	Pusat Kesehatan Masyarakat
Puskesmas Taeng	RC3P+F44, Jalan Pelita Taeng, Taeng, Kec. Pallangga, Kabupaten Gowa, Sulawesi Selatan 90224, Indonesia	-5.1963624	119.4353263	Pusat Kesehatan Masyarakat
Puskesmas Andalas	Lorong 209 No.6, Melayu Baru, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90172, Indonesia	-5.1258101	119.41186739999999	Pusat Kesehatan Masyarakat
Puskesmas Pembantu Makassar	VCC8+93V, Jl. Agus Salim, Ende, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90155, Indonesia	-5.129004999999999	119.415173	Pusat Kesehatan Masyarakat
Puskesmas Rappokalling	VCFV+226, Tammua, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1274529	119.4425225	Pusat Kesehatan Masyarakat
Puskesmas Jumpandang Baru	Jl. Ir. H. Juanda No.1, Ujung Pandang Baru, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90211, Indonesia	-5.121421	119.4374072	Pusat Kesehatan Masyarakat
Puskesmas Rappokalling	VCFV+226, Tammua, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90231	-5.1274529	119.4425225	Pusat Kesehatan Masyarakat
Puskesmas Andalas	Lorong 209 No.6, Melayu Baru, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90172	-5.1258101	119.41186739999999	Pusat Kesehatan Masyarakat
Puskesmas Antang Perumnas	Jl. Lasuloro Raya No.19, Bangkala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234	-5.1691259	119.484898	Pusat Kesehatan Masyarakat
Puskesmas Layang	Jl. Tinumbu Lrg. 148 No.11, Layang, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90162	-5.1230142999999995	119.42227589999999	Pusat Kesehatan Masyarakat
Puskesmas Jumpandang Baru	Jl. Ir. H. Juanda No.1, Ujung Pandang Baru, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90211	-5.121421	119.4374072	Pusat Kesehatan Masyarakat
Puskesmas Tingimoncong	Jl. Sultan Hasanuddin No.34, Pandang Pandang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92178	-5.2009435999999996	119.4464134	Pusat Kesehatan Masyarakat
Puskesmas Tarakan	181, Jl. Kodingareng No.5, Mampu, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90163	-5.1202350999999995	119.41168289999999	Pusat Kesehatan Masyarakat
Puskesmas Tamangapa	Jl. Tamangapa Raya No.264, Tamangapa, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90235	-5.184513	119.49065999999999	Pusat Kesehatan Masyarakat
Puskesmas Tabaringan	Jalan Tinumbu Lr 154 No. 2, Kaluku Bodoa, Makassar, Tabaringan, Kec. Ujung Tanah, Kota Makassar, Sulawesi Selatan 90162	-5.1204984	119.4198595	Pusat Kesehatan Masyarakat
Puskesmas Samata	QFXQ+G4R, Jalan Romang Polong Samata, Romangpolong, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92113	-5.2011273	119.4877513	Pusat Kesehatan Masyarakat
Puskesmas Barombong	Q9RP+7WR, Jl. Perjanjian Bongaya, Barombong, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225	-5.2092595	119.38727999999999	Pusat Kesehatan Masyarakat
Puskesmas Pattingalloang	Jl. Barukang VI No.15, Pattingaloang Baru, Kec. Ujung Tanah, Kota Makassar, Sulawesi Selatan 90215	-5.1129434	119.4237515	Pusat Kesehatan Masyarakat
Puskesmas Kaluku Bodoa	Jl. Butta Butta Caddi No.15, Kaluku Bodoa, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90215	-5.1132075	119.4329769	Pusat Kesehatan Masyarakat
PUSKESMAS KAPASA	VGM3+434, Komp, Jl. BTN TNI Angkatan Laut, Kapasa, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245	-5.1172268999999995	119.502697	Pusat Kesehatan Masyarakat
